customer_id,product_id,product_name,purchased
1,2,Vela Mestra 3870,1
1,21,Âncora Bruce 6850,1
1,22,Vela Mestra 7039,1
1,24,Colete Salva-Vidas 3398,1
1,47,Motor de Popa 5561,1
1,70,Motor de Popa 1845,1
1,73,Hélice de Alumínio 3700,1
1,81,Motor de Popa 7678,1
1,85,Hélice de Alumínio 6549,1
1,95,Vela Mestra 6861,1
1,114,Tinta Antifouling 3228,1
1,115,Bateria Náutica 8635,1
1,130,Tinta Antifouling 9285,1
1,141,Motor de Popa 5440,1
1,152,Caboo Náutico 4942,1
1,157,Bússola de Bordo 1248,1
1,170,Bateria Náutica 834,1
1,173,Bateria Náutica 2569,1
1,174,Bússola de Bordo 755,1
1,175,Hélice de Alumínio 7706,1
1,177,GPS Plotter 8413,1
1,190,GPS Plotter 3107,1
1,226,Hélice de Alumínio 3756,1
1,229,Bateria Náutica 5653,1
1,231,GPS Plotter 6626,1
1,243,Bússola de Bordo 994,1
1,253,Bússola de Bordo 3611,1
1,264,Bateria Náutica 1358,1
1,267,GPS Plotter 475,1
1,272,Cabo Náutico 4571,1
1,297,Tinta Antifouling 9136,1
1,310,Vela Mestra 8489,1
1,333,Bússola de Bordo 180,1
1,334,Tinta Antifouling 3404,1
1,352,Âncora Bruce 7571,1
1,408,Sonar Transducer 7193,1
1,426,Motor de Popa 1296,1
1,428,Sonar Transducer 8490,1
1,429,GPS Plotter 3591,1
1,431,Hélice de Alumínio 571,1
1,438,Colete Salva-Vidas 2217,1
1,439,Motor de Popa 1376,1
1,440,Bússola de Bordo 553,1
1,443,Vela Mestra 6757,1
1,445,Hélice de Alumínio 9779,1
1,459,Vela Mestra 9743,1
1,464,GPS Plotter 9584,1
1,468,Tinta Antifouling 6054,1
1,477,Motor de Popa 8461,1
1,484,Hélice de Alumínio 6668,1
1,488,Bateria Náutica 9984,1
1,492,Bateria Náutica 4361,1
2,9,Tinta Antifouling 874,1
2,11,Hélice de Alumínio 4091,1
2,12,Cabo Náutico 8028,1
2,24,Colete Salva-Vidas 3398,1
2,28,Colete Salva-Vidas 1890,1
2,40,Tinta Antifouling 4321,1
2,43,Defensa Náutica 9513,1
2,44,Motor de Popa 9645,1
2,50,Vela Mestra 1577,1
2,51,Defensa Náutica 9969,1
2,58,Sonar Transducer 3832,1
2,73,Hélice de Alumínio 3700,1
2,75,Vela Mestra 1913,1
2,77,Bateria Náutica 1945,1
2,84,Defensa Náutica 656,1
2,93,Bússola de Bordo 2692,1
2,96,GPS Plotter 5928,1
2,103,GPS Plotter 3183,1
2,105,Defensa Náutica 1200,1
2,108,Âncora Bruce 326,1
2,111,Sonar Transducer 5950,1
2,116,Colete Salva-Vidas 280,1
2,124,Âncora Bruce 9985,1
2,126,Hélice de Alumínio 9713,1
2,143,Tinta Antifouling 849,1
